"symbol","timestamp","anomaly","change","change_percent","high","low","moving_average","open","previous_close","price","volume"
"ITC.NS","2026-01-19T10:18:10Z","No","4","1.22","334.65","327.3","331.2875","330","329.2","333.2","15503614"
"ITC.NS","2026-01-19T10:18:42Z","No","4","1.22","334.65","327.3","331.2875","330","329.2","333.2","15503614"
"ITC.NS","2026-01-19T10:19:14Z","No","4","1.22","334.65","327.3","331.2875","330","329.2","333.2","15503614"
"ITC.NS","2026-01-19T10:19:46Z","No","4","1.22","334.65","327.3","331.2875","330","329.2","333.2","15503614"
"ITC.NS","2026-01-19T10:20:17Z","No","4","1.22","334.65","327.3","331.2875","330","329.2","333.2","15503614"
"ITC.NS","2026-01-19T10:20:49Z","No","4","1.22","334.65","327.3","331.2875","330","329.2","333.2","15503614"
"ITC.NS","2026-01-19T10:21:20Z","No","4","1.22","334.65","327.3","331.2875","330","329.2","333.2","15503614"
"ITC.NS","2026-01-19T10:21:51Z","No","4","1.22","334.65","327.3","331.2875","330","329.2","333.2","15503614"
"BARC.L","2026-01-19T10:29:10Z","No","'-10","'-2.05","484.35","477.15","480.06250000000006","479.8","488.95","478.95","5481410"
"BARC.L","2026-01-19T10:29:41Z","No","'-5.65","'-1.16","484.35","477.15","481.15000000000003","479.8","488.95","483.3","5482826"
"BARC.L","2026-01-19T10:30:12Z","No","'-9.83","'-2.01","484.35","477.15","480.105","479.8","488.95","479.12","5508072"
"BARC.L","2026-01-19T10:30:43Z","No","'-5.75","'-1.18","484.35","477.15","481.12500000000006","479.8","488.95","483.2","5508560"
"BARC.L","2026-01-19T10:31:15Z","No","'-9.7","'-1.98","484.35","477.15","480.13750000000005","479.8","488.95","479.25","5516958"
"BARC.L","2026-01-19T10:31:46Z","No","'-5.75","'-1.18","484.35","477.15","481.12500000000006","479.8","488.95","483.2","5524657"
"BARC.L","2026-01-19T10:32:17Z","No","'-5.65","'-1.16","484.35","477.15","481.15000000000003","479.8","488.95","483.3","5528027"
"BARC.L","2026-01-19T10:32:49Z","No","'-5.75","'-1.18","484.35","477.15","481.12500000000006","479.8","488.95","483.2","5534660"
"BARC.L","2026-01-19T10:33:20Z","No","'-10.18","'-2.08","484.35","477.15","480.01750000000004","479.8","488.95","478.77","5553578"
"BARC.L","2026-01-19T10:33:51Z","No","'-5.65","'-1.16","484.35","477.15","481.15000000000003","479.8","488.95","483.3","5557533"
"BARC.L","2026-01-19T10:34:23Z","No","'-9.85","'-2.01","484.35","477.15","480.1","479.8","488.95","479.1","5562310"
"BARC.L","2026-01-19T11:35:31Z","No","'-8.95","'-1.83","484.35","477.15","480.32500000000005","479.8","488.95","480","6523166"
"BARC.L","2026-01-19T11:36:02Z","No","'-9.05","'-1.85","484.35","477.15","480.30000000000007","479.8","488.95","479.9","6527588"
"BARC.L","2026-01-19T11:36:33Z","No","'-9","'-1.84","484.35","477.15","480.31250000000006","479.8","488.95","479.95","6533795"
"BARC.L","2026-01-19T11:37:05Z","No","'-9.15","'-1.87","484.35","477.15","480.27500000000003","479.8","488.95","479.8","6543312"
"BARC.L","2026-01-19T11:37:37Z","No","'-9","'-1.84","484.35","477.15","480.31250000000006","479.8","488.95","479.95","6577215"
"BARC.L","2026-01-19T11:38:08Z","No","'-8.95","'-1.83","484.35","477.15","480.32500000000005","479.8","488.95","480","6670513"
"BARC.L","2026-01-19T11:38:39Z","No","'-8.95","'-1.83","484.35","477.15","480.32500000000005","479.8","488.95","480","6674563"
"BARC.L","2026-01-19T11:39:11Z","No","'-9.3","'-1.9","484.35","477.15","480.23750000000007","479.8","488.95","479.65","6679405"
"BARC.L","2026-01-19T11:39:42Z","No","'-9.1","'-1.86","484.35","477.15","480.2875","479.8","488.95","479.85","6682019"
"BARC.L","2026-01-19T11:40:14Z","No","'-9","'-1.84","484.35","477.15","480.31250000000006","479.8","488.95","479.95","6690716"
"BARC.L","2026-01-19T11:40:45Z","No","'-9","'-1.84","484.35","477.15","480.31250000000006","479.8","488.95","479.95","6692528"
"BARC.L","2026-01-19T11:41:17Z","No","'-9.07","'-1.85","484.35","477.15","480.2950000000001","479.8","488.95","479.88","6699147"
"BARC.L","2026-01-19T11:41:48Z","No","'-9.1","'-1.86","484.35","477.15","480.2875","479.8","488.95","479.85","6709291"
"BARC.L","2026-01-19T11:42:19Z","No","'-9.05","'-1.85","484.35","477.15","480.30000000000007","479.8","488.95","479.9","6712960"
"BARC.L","2026-01-19T11:42:50Z","No","'-8.95","'-1.83","484.35","477.15","480.32500000000005","479.8","488.95","480","6718466"
"BARC.L","2026-01-19T11:43:21Z","No","'-9","'-1.84","484.35","477.15","480.31250000000006","479.8","488.95","479.95","6732496"
"BARC.L","2026-01-19T12:26:54Z","No","'-7.85","'-1.61","484.35","477.15","480.6","479.8","488.95","481.1","7279897"
"BARC.L","2026-01-19T12:27:25Z","No","'-7.85","'-1.61","484.35","477.15","480.6","479.8","488.95","481.1","7279897"